Id,Question,Answer
1,"What is the minimum fee for a cash advance?
",2% or $7
2,"What is the minimum fee for a cash advance?
",4% or $5
3,"What is the minimum fee for a cash advance?
",1% or $6
4,"What is the minimum fee for a cash advance?
",5% or $8
5,"What is the minimum fee for a cash advance?
",2% or $7
6,"What is the minimum fee for a cash advance?
",3% or $10
7,"What is the minimum fee for a cash advance?
",5% or $7
8,"What is the minimum fee for a cash advance?
",3% or $5
9,"What is the minimum fee for a cash advance?
",5% or $9
10,"What is the minimum fee for a cash advance?
",4% or $7
11,"What is the minimum fee for a cash advance?
",4% or $5
12,"What is the minimum fee for a cash advance?
",1% or $5
13,"What is the minimum fee for a cash advance?
",5% or $7
14,"What is the minimum fee for a cash advance?
",5% or $10
15,"What is the minimum fee for a cash advance?
",5% or $10
16,"What is the minimum fee for a cash advance?
",3% or $10
17,"What is the minimum fee for a cash advance?
",4% or $5
18,"What is the minimum fee for a cash advance?
",5% or $6
19,"What is the minimum fee for a cash advance?
",2% or $9
20,"What is the minimum fee for a cash advance?
",5% or $6
21,"What is the minimum fee for a cash advance?
",5% or $8
22,"What is the minimum fee for a cash advance?
",4% or $5
23,"What is the minimum fee for a cash advance?
",4% or $10
24,"What is the minimum fee for a cash advance?
",3% or $5
25,"What is the minimum fee for a cash advance?
",3% or $10
26,"What is the minimum fee for a cash advance?
",4% or $7
27,"What is the minimum fee for a cash advance?
",5% or $9
28,"What is the minimum fee for a cash advance?
",1% or $6
29,"What is the minimum fee for a cash advance?
",3% or $5
30,"What is the minimum fee for a cash advance?
",3% or $9
31,"What is the minimum fee for a cash advance?
",1% or $5
32,"What is the minimum fee for a cash advance?
",2% or $6
33,"What is the minimum fee for a cash advance?
",5% or $5
34,"What is the minimum fee for a cash advance?
",2% or $9
35,"What is the minimum fee for a cash advance?
",3% or $5
36,"What is the minimum fee for a cash advance?
",1% or $6
37,"What is the minimum fee for a cash advance?
",3% or $8
38,"What is the minimum fee for a cash advance?
",1% or $7
39,"What is the minimum fee for a cash advance?
",3% or $10
40,"What is the minimum fee for a cash advance?
",4% or $5
41,"What is the minimum fee for a cash advance?
",4% or $7
42,"What is the minimum fee for a cash advance?
",5% or $5
43,"What is the minimum fee for a cash advance?
",4% or $9
44,"What is the minimum fee for a cash advance?
",2% or $5
45,"What is the minimum fee for a cash advance?
",1% or $8
46,"What is the minimum fee for a cash advance?
",1% or $5
47,"What is the minimum fee for a cash advance?
",1% or $6
48,"What is the minimum fee for a cash advance?
",3% or $7
49,"What is the minimum fee for a cash advance?
",1% or $6
50,"What is the minimum fee for a cash advance?
",5% or $10
51,"What is the minimum fee for a cash advance?
",2% or $8
52,"What is the minimum fee for a cash advance?
",4% or $7
53,"What is the minimum fee for a cash advance?
",3% or $10
54,"What is the minimum fee for a cash advance?
",4% or $6
55,"What is the minimum fee for a cash advance?
",1% or $5
56,"What is the minimum fee for a cash advance?
",1% or $8
57,"What is the minimum fee for a cash advance?
",3% or $6
58,"What is the minimum fee for a cash advance?
",4% or $10
59,"What is the minimum fee for a cash advance?
",1% or $6
60,"What is the minimum fee for a cash advance?
",4% or $9
61,"What is the minimum fee for a cash advance?
",2% or $9
62,"What is the minimum fee for a cash advance?
",5% or $10
63,"What is the minimum fee for a cash advance?
",1% or $7
64,"What is the minimum fee for a cash advance?
",1% or $5
65,"What is the minimum fee for a cash advance?
",1% or $8
66,"What is the minimum fee for a cash advance?
",5% or $6
67,"What is the minimum fee for a cash advance?
",5% or $7
68,"What is the minimum fee for a cash advance?
",3% or $9
69,"What is the minimum fee for a cash advance?
",1% or $10
70,"What is the minimum fee for a cash advance?
",4% or $7
71,"What is the minimum fee for a cash advance?
",1% or $7
72,"What is the minimum fee for a cash advance?
",3% or $6
73,"What is the minimum fee for a cash advance?
",5% or $6
74,"What is the minimum fee for a cash advance?
",3% or $6
75,"What is the minimum fee for a cash advance?
",2% or $5
76,"What is the minimum fee for a cash advance?
",3% or $7
77,"What is the minimum fee for a cash advance?
",3% or $8
78,"What is the minimum fee for a cash advance?
",3% or $7
79,"What is the minimum fee for a cash advance?
",5% or $5
80,"What is the minimum fee for a cash advance?
",5% or $10
81,"What is the minimum fee for a cash advance?
",3% or $9
82,"What is the minimum fee for a cash advance?
",5% or $10
83,"What is the minimum fee for a cash advance?
",3% or $7
84,"What is the minimum fee for a cash advance?
",3% or $6
85,"What is the minimum fee for a cash advance?
",5% or $8
86,"What is the minimum fee for a cash advance?
",4% or $9
87,"What is the minimum fee for a cash advance?
",1% or $9
88,"What is the minimum fee for a cash advance?
",5% or $8
89,"What is the minimum fee for a cash advance?
",4% or $10
90,"What is the minimum fee for a cash advance?
",5% or $10
91,"What is the minimum fee for a cash advance?
",3% or $5
92,"What is the minimum fee for a cash advance?
",5% or $5
93,"What is the minimum fee for a cash advance?
",1% or $8
94,"What is the minimum fee for a cash advance?
",4% or $9
95,"What is the minimum fee for a cash advance?
",1% or $6
96,"What is the minimum fee for a cash advance?
",1% or $5
97,"What is the minimum fee for a cash advance?
",5% or $6
98,"What is the minimum fee for a cash advance?
",4% or $7
99,"What is the minimum fee for a cash advance?
",3% or $5
100,"What is the minimum fee for a cash advance?
",3% or $5
101,"What is the minimum fee for a cash advance?
",4% or $6
102,"What is the minimum fee for a cash advance?
",2% or $10
103,"What is the minimum fee for a cash advance?
",2% or $9
104,"What is the minimum fee for a cash advance?
",3% or $9
105,"What is the minimum fee for a cash advance?
",5% or $7
106,"What is the minimum fee for a cash advance?
",2% or $5
107,"What is the minimum fee for a cash advance?
",2% or $5
108,"What is the minimum fee for a cash advance?
",4% or $7
109,"What is the minimum fee for a cash advance?
",3% or $6
110,"What is the minimum fee for a cash advance?
",3% or $10
111,"What is the minimum fee for a cash advance?
",1% or $6
112,"What is the minimum fee for a cash advance?
",4% or $8
113,"What is the minimum fee for a cash advance?
",5% or $8
114,"What is the minimum fee for a cash advance?
",2% or $8
115,"What is the minimum fee for a cash advance?
",3% or $8
116,"What is the minimum fee for a cash advance?
",4% or $10
117,"What is the minimum fee for a cash advance?
",5% or $7
118,"What is the minimum fee for a cash advance?
",5% or $8
119,"What is the minimum fee for a cash advance?
",1% or $6
120,"What is the minimum fee for a cash advance?
",1% or $6
121,"What is the minimum fee for a cash advance?
",5% or $7
122,"What is the minimum fee for a cash advance?
",2% or $6
123,"What is the minimum fee for a cash advance?
",2% or $10
124,"What is the minimum fee for a cash advance?
",2% or $7
125,"What is the minimum fee for a cash advance?
",3% or $9
126,"What is the minimum fee for a cash advance?
",5% or $10
127,"What is the minimum fee for a cash advance?
",5% or $8
128,"What is the minimum fee for a cash advance?
",5% or $7
129,"What is the minimum fee for a cash advance?
",5% or $9
130,"What is the minimum fee for a cash advance?
",5% or $8
131,"What is the minimum fee for a cash advance?
",4% or $6
132,"What is the minimum fee for a cash advance?
",2% or $7
133,"What is the minimum fee for a cash advance?
",1% or $5
134,"What is the minimum fee for a cash advance?
",2% or $5
135,"What is the minimum fee for a cash advance?
",3% or $6
136,"What is the minimum fee for a cash advance?
",2% or $5
137,"What is the minimum fee for a cash advance?
",4% or $10
138,"What is the minimum fee for a cash advance?
",4% or $7
139,"What is the minimum fee for a cash advance?
",2% or $5
140,"What is the minimum fee for a cash advance?
",2% or $6
141,"What is the minimum fee for a cash advance?
",1% or $5
142,"What is the minimum fee for a cash advance?
",3% or $6
143,"What is the minimum fee for a cash advance?
",2% or $10
144,"What is the minimum fee for a cash advance?
",3% or $9
145,"What is the minimum fee for a cash advance?
",3% or $10
146,"What is the minimum fee for a cash advance?
",5% or $5
147,"What is the minimum fee for a cash advance?
",4% or $10
148,"What is the minimum fee for a cash advance?
",5% or $5
149,"What is the minimum fee for a cash advance?
",5% or $6
150,"What is the minimum fee for a cash advance?
",5% or $7
1,What is the interest rate of the account?,13.44
2,What is the interest rate of the account?,15.9
3,What is the interest rate of the account?,16.48
4,What is the interest rate of the account?,16.16
5,What is the interest rate of the account?,10.3
6,What is the interest rate of the account?,8.69
7,What is the interest rate of the account?,13.59
8,What is the interest rate of the account?,11.86
9,What is the interest rate of the account?,14.24
10,What is the interest rate of the account?,8.99
11,What is the interest rate of the account?,15.18
12,What is the interest rate of the account?,14.68
13,What is the interest rate of the account?,16.89
14,What is the interest rate of the account?,13.48
15,What is the interest rate of the account?,10.61
16,What is the interest rate of the account?,13.07
17,What is the interest rate of the account?,15.92
18,What is the interest rate of the account?,14.89
19,What is the interest rate of the account?,17.74
20,What is the interest rate of the account?,8.08
21,What is the interest rate of the account?,16.86
22,What is the interest rate of the account?,14.15
23,What is the interest rate of the account?,8.68
24,What is the interest rate of the account?,12.86
25,What is the interest rate of the account?,17.79
26,What is the interest rate of the account?,8.42
27,What is the interest rate of the account?,13.62
28,What is the interest rate of the account?,8.57
29,What is the interest rate of the account?,17.46
30,What is the interest rate of the account?,12.5
31,What is the interest rate of the account?,9.87
32,What is the interest rate of the account?,8.76
33,What is the interest rate of the account?,8.22
34,What is the interest rate of the account?,10.02
35,What is the interest rate of the account?,10.89
36,What is the interest rate of the account?,18.26
37,What is the interest rate of the account?,15.28
38,What is the interest rate of the account?,9.86
39,What is the interest rate of the account?,11.96
40,What is the interest rate of the account?,11.39
41,What is the interest rate of the account?,15.5
42,What is the interest rate of the account?,17.89
43,What is the interest rate of the account?,17.51
44,What is the interest rate of the account?,11.99
45,What is the interest rate of the account?,17.62
46,What is the interest rate of the account?,10.66
47,What is the interest rate of the account?,12.16
48,What is the interest rate of the account?,18.26
49,What is the interest rate of the account?,12.64
50,What is the interest rate of the account?,12.57
51,What is the interest rate of the account?,13.77
52,What is the interest rate of the account?,11.55
53,What is the interest rate of the account?,10.51
54,What is the interest rate of the account?,16.93
55,What is the interest rate of the account?,13.58
56,What is the interest rate of the account?,12.07
